eis_id,title,document_type,lead_agency,state,all_states,filed_date,filed_year,federal_register_date,comment_letter_date,comment_due_date,epa_impact,epa_adequacy,attachment_count
85565,Boise River Wildfire Recovery Project Implementation North Fork Boise River and Mores Creek Drainages Boise National Forest Idaho City and Mountain Home Ranger Districts Boise and Elmore Counties ID,Draft,Forest Service,ID,ID,1994-12-16,1994,1995-02-10,1995-01-27,1995-02-06,Environmental Objections,2.0,0
83692,Atlantic Coast of Long Island Jones Inlet to East Rockaway Inlet Storm Damage Reduction Project Construction Long Beach Island Nassau County NY,Draft,U.S. Army Corps of Engineers,NY,NY,1994-12-19,1994,1994-12-30,1995-02-13,1995-02-13,Environmental Concerns,2.0,0
79200,Greenville Southern Connectors Construction and Operation I-185 at I-85 south of Donaldson Center Industrial Air Park to I-385 at US 276 and SC-153 Connector from existing SC-153 at I-85 to the Southern Connector Funding and COE Section 404 Permit Ande,Draft,Federal Highway Administration,SC,SC,1994-12-19,1994,1994-12-30,1995-03-13,1995-02-13,Environmental Concerns,2.0,0
77703,Worcester Municipal Airport Parallel Taxiway Construction to Runway 11-29 Updated Information on the 5 Year Plan of Improvements Worcester County MA,Draft Supplement,Federal Aviation Administration,MA,MA,1994-12-19,1994,1994-12-30,1995-03-06,1995-03-08,Environmental Concerns,2.0,0
78642,WI-64 Highway Improvements Houlton to New Richmond Funding and COE Section 404 Permit St. Croix County WI,Final,Federal Highway Administration,WI,WI,1994-12-21,1994,1994-12-30,,1995-02-10,,,0
75513,Arizona Statewide Wild and Scenic Rivers Suitable or Nonsuitable Designation National Wild and Scenic Rivers System several counties AZ,LF,Bureau of Land Management,AZ,AZ,1994-12-21,1994,1994-12-30,1995-01-23,1995-01-31,Lack of Objections,,0
83923,Beltsville Agricultural Research Center Construction of Office Complex Site Selection Prince George's County MD,Final,Department of Agriculture,MD,MD,1994-12-22,1994,1994-12-30,1995-01-30,1995-01-30,Lack of Objections,,0
78541,US 222 Relocation/Reconstruction Project Construction of the Warren Street Extension Funding Berks County PA,Draft,Federal Highway Administration,PA,PA,1994-12-22,1994,1994-12-30,1995-04-07,1995-02-24,Environmental Concerns,2.0,0
76662,F-Canyon Plutonium Solutions Stabilization Implementation Savannah River Site Aiken and Barnwell Counties SC,Final,Department of Energy,SC,SC,1994-12-22,1994,1994-12-30,1995-01-26,1995-01-30,Environmental Concerns,2.0,0
75835,Rangeland Reform 1994 Program Implementation Land Acquisition and Permits Approval,Final,Bureau of Land Management,,,1994-12-23,1994,1994-12-30,1995-01-27,1995-01-30,Environmental Concerns,2.0,0
81653,PROGRAMMATIC - Juan Bautista de Anza National Historic Trail Comprehensive Management Plan Implementation several counties AZ and CA,Draft,National Park Service,AZ,AZ,1994-12-23,1994,1994-12-30,1995-02-27,1995-02-27,Environmental Concerns,2.0,0
78903,Northern State Parkway Widening Project Construction from Meadowbrook State Parkway Interchange to Wantagh State Parkway Interchange Funding Town of North Hempstead Nassau County NY,Final,Federal Highway Administration,NY,NY,1994-12-23,1994,1994-12-30,1995-02-06,1995-01-30,Lack of Objections,,0
81456,City of Rocks National Reserve Comprehensive Management Plan and Development Concept Plan Implementation Cassia County ID,Final,National Park Service,ID,ID,1994-12-27,1994,1995-01-06,1995-01-10,1995-02-06,Lack of Objections,,0
78552,I-89 Interchange in the Town of Bolton and US 2 between Watersburg and Richmond Construction Project Updated Information Chittenden and Washington Counties VT,Draft Supplement,Federal Highway Administration,VT,VT,1994-12-27,1994,1995-01-06,1995-03-21,1995-03-15,Environmental Objections,2.0,0
76454,Kauai Acoustic Thermometry of Ocean Climate (ATOC) Project and Marine Mammal Research Program (MMRP) Funding Marine Manual Research Permit and COE Section 10 Permit Issuance Kauai HI,Draft,Department of Defense,HI,HI,1994-12-27,1994,1995-01-06,1995-02-13,1995-03-09,Environmental Concerns,2.0,0
78751,WI-100 and US 45 Interchange Roadway Improvements and Construction Funding and COE Section 404 Permit Milwankee and Wankesha Counties WI,Draft,Federal Highway Administration,WI,WI,1994-12-28,1994,1995-01-06,1995-03-23,1995-02-20,Environmental Concerns,2.0,0
78898,Kittanning By-Pass/PA-6028 Section 015 Extension of the Allegheny Valley Expressway existing Allegheny Valley Expressway to the Traffic Route 28/66 and Traffic Route 85 Intersection Funding and COE Section 404 and EPA NPDES Permits Issuance Armstrong,Draft,Federal Highway Administration,PA,PA,1994-12-28,1994,1995-01-06,1995-03-24,1995-03-15,Environmental Concerns,2.0,0
78567,Eastern Pleasure Island Hurrican Evacuation Route Construction AL-182 in Orange Beach to CR-95 near CR-20 (on the mainland) and CR-95 near CR-20 to I-10 Funding and US Coast Guard Bridge and COE Section 404 Permits Issuance Baldwin County AL,Draft,Federal Highway Administration,AL,AL,1994-12-29,1994,1995-01-06,1995-02-27,1995-02-27,Environmental Concerns,2.0,0
75326,Grass Creek Resource Management Plan Implementation Big Horn Washakie Hot Springs and Park Counties WY,Draft,Bureau of Land Management,WY,WY,1994-12-29,1994,1995-01-06,1995-05-26,1995-05-07,Environmental Concerns,2.0,0
77442,Nisqually Hydroelectric Project (FERC. No. 1862) Issuing New License (Relicense) Nisqually River Pierce Thurston and Lewis Counties WA,Draft,Federal Energy Regulatory Commission,WA,WA,1995-01-03,1995,1995-01-13,1995-03-14,1995-03-14,Lack of Objections,,0
84928,Buzzard Project Area Timber Sale and Road Construction Implementation Umatilla National Forest Walla Walla Ranger District Union and Wallowa Counties OR,Final,Forest Service,OR,OR,1995-01-04,1995,1995-01-13,1995-03-01,1995-03-01,Environmental Concerns,2.0,0
83543,Willamette River Temperature Control Study Selective Withdrawal Structure(s) (SWS) Construction McKenzie River Subbasin OR,Draft,U.S. Army Corps of Engineers,OR,OR,1995-01-04,1995,1995-01-13,1995-02-23,1995-02-27,Environmental Concerns,2.0,0
80775,U. S. Plaza at Rainbow Bridge Renovation Project Leasing of Space for Use by the U. S. Immigration and Naturalization Service and the U. S. Customs Service Niagara County NY,Draft,General Services Administration,NY,NY,1995-01-04,1995,1995-01-13,1994-12-29,1995-02-27,Lack of Objections,,0
80174,Bay Area Rapid Transit District (BART) Transportation Improvements San Francisco to San Francisco International Airport Extension Updated and Additional Information Approval Funding COE Section 404 and Possible FHWA Encroachment Permits Issuance San,Draft Supplement,Federal Transit Administration,CA,CA,1995-01-05,1995,1995-01-13,1995-03-14,1995-03-13,Environmental Concerns,2.0,0
77111,Eagle Pass Coal Mine Project New Source NPDES and COE Section 404 Permits Issuance Maverick County TX,Final,Environmental Protection Agency,TX,TX,1995-01-05,1995,1995-01-13,1995-02-20,1995-02-20,,,0
